date,gz_spread,ebp,est_prob
MAR2004,1.9264,-0.5673,0.0647575657
APR2004,1.7627,-0.8129,0.0345918443
MAY2004,1.9168,-0.4049,0.0939651237
JUN2004,1.8202,-0.4069,0.0935575991
JUL2004,1.7608,-0.3396,0.1081129522
AUG2004,1.8772,-0.4590,0.083310915
SEP2004,1.7681,-0.5816,0.0625822814
OCT2004,1.7655,-0.5328,0.0702948462
NOV2004,1.5635,-0.6730,0.0499263229
DEC2004,1.4997,-0.7255,0.0436356033
JAN2005,1.7571,-0.6698,0.0503302877
FEB2005,1.6090,-0.9212,0.0255866039
MAR2005,1.9458,-0.6009,0.059717194
APR2005,2.2741,-0.3181,0.1130863731
MAY2005,2.2550,-0.2564,0.1282688572
JUN2005,2.0701,-0.4578,0.0835386419
JUL2005,1.7845,-0.6181,0.0572568167
AUG2005,1.9333,-0.6116,0.0581705015
SEP2005,1.9748,-0.4791,0.0796066
OCT2005,2.0821,-0.3026,0.1167777156
NOV2005,2.1590,-0.2233,0.1369788294
DEC2005,2.2696,-0.1592,0.1549480955
JAN2006,2.0168,-0.3225,0.1120588393
FEB2006,2.0070,-0.2526,0.1292487022
MAR2006,1.9309,-0.3884,0.0974058052
APR2006,1.8443,-0.4246,0.0899650594
MAY2006,1.8274,-0.3480,0.1061958758
JUN2006,1.8826,-0.4498,0.0850590449
JUL2006,1.9183,-0.3603,0.1034692558
AUG2006,1.9226,-0.3806,0.0990489455
SEP2006,1.9185,-0.4740,0.0805377537
OCT2006,1.8170,-0.5027,0.0753996273
NOV2006,1.7896,-0.4954,0.076674911
DEC2006,1.6792,-0.6396,0.0542880643
JAN2007,1.5713,-0.7203,0.0442299826
FEB2007,1.6083,-0.7169,0.0446166089
MAR2007,1.6861,-0.4932,0.0770635293
APR2007,1.6502,-0.4972,0.0763654485
MAY2007,1.5520,-0.7636,0.0394860327
JUN2007,1.7046,-0.5578,0.0662542925
JUL2007,2.2489,-0.1061,0.1709988327
AUG2007,2.4064,0.0296,0.2165763314
SEP2007,2.3286,-0.0886,0.1764829086
OCT2007,2.2647,-0.1823,0.1482987538
NOV2007,2.8712,0.2045,0.2845628008
DEC2007,2.9574,0.3812,0.3622107592
JAN2008,3.3800,0.6187,0.4755765101
FEB2008,3.6476,0.8515,0.5887512548
MAR2008,3.9283,1.1143,0.7076729201
APR2008,3.3797,0.5740,0.4537974593
MAY2008,3.2687,0.6480,0.4899177861
JUN2008,3.6858,0.8769,0.6008238233
JUL2008,4.0127,1.2347,0.7562753511
AUG2008,4.1554,1.4174,0.8208177683
SEP2008,5.2747,1.9724,0.9451128864
OCT2008,7.5433,3.4673,0.9997012356
NOV2008,7.9840,2.9081,0.9969916622
DEC2008,7.7058,3.0350,0.998148943
JAN2009,6.4109,2.6649,0.9928292907
FEB2009,6.2064,3.1300,0.9987321177
MAR2009,6.4091,2.6924,0.9934727227
APR2009,5.4428,2.1995,0.9697888921
MAY2009,4.8311,1.3087,0.7837883677
JUN2009,4.1953,0.8969,0.610236533
JUL2009,3.5650,0.2974,0.3244261237
AUG2009,3.3343,0.0165,0.2118738321
SEP2009,2.9835,0.0144,0.2111559938
OCT2009,2.8704,-0.1827,0.1481852795
NOV2009,2.8655,-0.0459,0.1903985308
DEC2009,2.4326,-0.5758,0.0634576786
JAN2010,2.4198,-0.2394,0.1326913533
FEB2010,2.4462,-0.0433,0.1912694877
MAR2010,2.2400,-0.2184,0.1382857696
APR2010,2.1233,-0.3615,0.1031942251
MAY2010,2.5788,-0.2523,0.1293241537
JUN2010,2.7094,-0.0663,0.1836841416
JUL2010,2.5475,0.0981,0.2420084353
AUG2010,2.7000,-0.4319,0.0885359713
SEP2010,2.5333,-0.0987,0.1733007405
OCT2010,2.4054,-0.0677,0.1832301938
NOV2010,2.4046,-0.2175,0.1385314666
DEC2010,2.2211,-0.5163,0.0730489379
JAN2011,2.1188,-0.0376,0.1931633935
FEB2011,2.0023,-0.3290,0.1105381349
MAR2011,1.9706,-0.3613,0.1032505299
APR2011,1.9725,-0.3158,0.1136201151
MAY2011,2.0593,-0.1763,0.150016095
JUN2011,2.1422,-0.0619,0.1851126778
JUL2011,2.2051,-0.1260,0.1648477895
AUG2011,2.8030,-0.2192,0.1380913295
SEP2011,3.0917,0.3264,0.337344692
OCT2011,2.7850,-0.2254,0.1364212167
NOV2011,2.9781,0.4316,0.3856323641
DEC2011,2.8765,0.1935,0.2800296326
JAN2012,2.7475,0.1063,0.2451828319
FEB2012,2.4910,-0.0120,0.2019008319
MAR2012,2.4174,-0.4497,0.0850842961
APR2012,2.5131,-0.2492,0.1301357235
MAY2012,2.7912,-0.1926,0.1454129845
JUN2012,2.7396,0.0854,0.2372029526
JUL2012,2.5957,-0.0839,0.1779948781
AUG2012,2.5222,-0.3060,0.1159475051
SEP2012,2.3905,-0.2621,0.1268077131
OCT2012,2.2368,-0.2892,0.1200232035
NOV2012,2.3281,-0.1396,0.1607668021
DEC2012,2.2307,-0.2535,0.129014255
JAN2013,2.1121,-0.1793,0.1491560457
FEB2013,2.1468,-0.1182,0.1672450044
MAR2013,2.1233,-0.1922,0.1455090413
APR2013,2.0652,-0.2206,0.1376937883
MAY2013,1.9891,-0.6320,0.055320995
JUN2013,2.1633,-0.5130,0.0736204153
JUL2013,2.0408,-0.0911,0.1757039708
AUG2013,2.0155,-0.2157,0.1390303215
SEP2013,2.0774,-0.2386,0.1329060087
OCT2013,1.9882,-0.1155,0.1680790159
NOV2013,1.9418,-0.0636,0.1845429232
DEC2013,1.7913,-0.2213,0.1375243486
JAN2014,1.8486,-0.4082,0.0932746037
FEB2014,1.7379,-0.2922,0.1192849734
MAR2014,1.6890,-0.3669,0.1020133245
APR2014,1.6288,-0.4508,0.0848751897
MAY2014,1.6306,-0.4724,0.0808274649
JUN2014,1.5970,-0.3989,0.0951962218
JUL2014,1.6544,-0.4239,0.0901093339
AUG2014,1.6536,-0.4307,0.0887567136
SEP2014,1.7969,-0.3358,0.1089663991
OCT2014,1.9013,-0.3309,0.1101079363
NOV2014,2.0543,-0.0559,0.1870990627
DEC2014,2.1431,-0.0732,0.1814482848
JAN2015,2.2132,-0.2425,0.1318633631
FEB2015,1.9686,-0.4932,0.0770618336
MAR2015,2.0841,-0.3052,0.1161459338
APR2015,2.0430,-0.1329,0.1627599989
MAY2015,2.0427,-0.0794,0.179429754
JUN2015,2.1778,0.0497,0.2238789877
JUL2015,2.3270,0.1119,0.2473389474
AUG2015,2.4371,0.3131,0.3313814071
